"","year","st"
"1",1951,9.75762557077626
"2",1952,8.98633879781421
"3",1953,10.066301369863
"4",1954,9.0627397260274
"5",1955,9.12146118721461
"6",1956,8.45009107468124
"7",1957,10.204200913242
"8",1958,9.77497716894977
"9",1959,10.9014611872146
"10",1960,9.91265938069217
"11",1961,10.1049315068493
"12",1962,8.02456621004566
"13",1963,8.30849315068493
"14",1964,9.4488160291439
"15",1965,8.73406392694064
"16",1966,9.7358904109589
"17",1967,10.0277625570776
"18",1968,9.31930783242259
"19",1969,9.43780821917808
"20",1970,9.27260273972603
"21",1971,9.76849315068493
"22",1972,8.81183970856102
"23",1973,9.82283105022831
"24",1974,9.75735159817352
"25",1975,10.1488584474886
"26",1976,10.604189435337
"27",1977,9.86803652968037
"28",1978,9.41351598173516
"29",1979,9.31625570776256
"30",1980,9.43187613843352
"31",1981,9.83269406392694
"32",1982,10.6403652968037
"33",1983,10.8197260273973
"34",1984,9.81976320582878
"35",1985,9.34611872146119
"36",1986,9.7524200913242
"37",1987,9.52611872146119
"38",1988,10.8534608378871
"39",1989,11.617899543379
"40",1990,11.3925114155251
"41",1991,10.2147945205479
"42",1992,11.2840619307832
"43",1993,10.4228310502283
"44",1994,11.5089908256881
"45",1995,11.5417582417582
"46",1996,10.5093369418133
"47",1997,12.246878198567
"48",1998,10.6934246575342
"49",1999,11.791598173516
"50",2000,11.8221100917431
"51",2001,12.9911587604641
"52",2002,11.2919362239046
"53",2003,11.6768580888229
"54",2004,10.4542724097788
"55",2005,11.2530694205393
"56",2006,11.588794489093
"57",2007,11.4333066910253
"58",2008,10.6936733749711
"59",2009,11.306313506108
"60",2010,10.571997716895
"61",2011,11.6756621004566
"62",2012,11.1237206639954
"63",2013,10.8534132420091
"64",2014,12.3024672940096
"65",2015,11.7225799086758
"66",2016,11.6618510928962
"67",2017,11.6656124670563
